ID,Area,Feature,User Story,Expected Behavior,Reachable,Status,TestMethod,TestResult,Errors,Fix,Notes
A1,Repositories,Add repository,As a user I add a git repo so I can browse its worktrees/changes/files.,"Choose a directory; if it answers `git worktree list` it is added, persisted, selected, and its primary worktree loads. Reachable from empty-state button, WORKTREES + button, and ··· menu.",Yes,Tested-Pass,static trace + suite,works (verified),,,
A2,Repositories,Reject non-git dir,As a user I am told when a chosen folder is not a git repo.,"Adding a non-repo directory shows an error, adds nothing, repositories unchanged.",Yes,Tested-Pass,static trace + suite,works (verified),,,
A3,Repositories,Prevent duplicate repo,As a user adding the same repo twice does not create duplicates.,Path is canonicalized (tilde+realpath); a repo already present is not re-added (returns false).,Yes,Tested-Pass,static trace + suite,works (verified),,,
A4,Repositories,Remove repository,As a user I remove a repo I no longer track.,"··· > Remove <name> deletes it, clears selection if it was active, and persists.",Yes,Tested-Pass,static trace + suite,works (verified),,,
A5,Repositories,Switch repository,As a user I switch between added repos.,··· menu lists repos; selecting one loads its worktrees + branches and focuses primary worktree.,Yes,Tested-Pass,static trace + suite,works (verified),,,
A6,Repositories,Set base branch,As a user I set a repo's base branch for ahead/behind + 'about to ship'.,··· > Set Base Branch > <local branch> stores baseBranch and persists it.,Yes (no downstream effect),Tested-FAIL,static trace,gap/med/functional,Set Base Branch persists repo.baseBranch but nothing consumes it: no diff-vs-base / ahead-of-base / about-to-ship view is wired. Setting it has no observable effect.,PENDING: wire an 'about to ship' diff-vs-base view (or remove the dead control).,
B1,Worktrees,Create worktree,As a user I create a new linked worktree on a new branch.,··· > New Worktree… opens a save panel; creates `worktree add -b <folder>` and reselects the repo so the new worktree appears.,Yes,Tested-Pass,static trace + suite,works (verified),,,
B2,Worktrees,Remove worktree,As a user I remove a linked worktree.,Row context menu > Remove Worktree… (non-primary only) runs `worktree remove` (force:false) and reselects repo.,Yes,Tested-FAIL,static trace,gap/med/ux,"removeWorktree force is hardcoded false; on a dirty/locked worktree git fails and AppModel dumps the raw GitError via ""\(error)"" into a 1-line truncated red label. No readable message, no force/confirm option.",PENDING: surface WorktreeModel.describe(error); optionally offer Force remove.,
B3,Worktrees,Open worktree in Finder,As a user I reveal a worktree directory in Finder.,Row menu > Open in Finder reveals the path.,Yes,Tested-Pass,static trace + suite,works (verified),,,
B4,Worktrees,Open worktree in Terminal,As a user I open a worktree in Terminal.,Row menu > Open in Terminal launches Terminal.app at the path.,Yes,Tested-Pass,static trace + suite,works (verified),,,
B5,Worktrees,Primary worktree protected,As a user I cannot remove the repo's primary checkout by mistake.,Remove Worktree… is hidden for the primary worktree.,Yes,Tested-Pass,static trace + suite,works (verified),,,
C1,Worktrees list,List worktrees,As a user I see all worktrees of the selected repo.,"Worktrees listed primary-first, then case-insensitive by name.",Yes,Tested-Pass,static trace + suite,works (verified),,,
